depth,b,cmi_center_mean,cmi_center_sem,cmi_max_mean,frac_nonzero
5,1,0.47,0.06396092557178953,1.99,0.39
5,2,1.61,0.09684523736353792,3.11,0.87
5,3,0.4,0.05830951894845301,1.52,0.35
5,4,0.0,0.0,1.32,0.0
5,5,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
5,7,0.0,0.0,0.0,0.0
5,8,0.0,0.0,0.0,0.0
5,9,0.0,0.0,0.0,0.0
5,10,0.0,0.0,0.0,0.0
5,11,0.0,0.0,0.0,0.0
5,12,0.0,0.0,0.0,0.0
5,13,0.0,0.0,0.0,0.0
5,14,0.0,0.0,0.0,0.0
5,15,0.0,0.0,0.0,0.0
5,16,0.0,0.0,0.0,0.0
5,17,0.0,0.0,0.0,0.0
5,18,0.0,0.0,0.0,0.0
5,19,0.0,0.0,0.0,0.0
5,20,0.0,0.0,0.0,0.0
5,21,0.0,0.0,0.0,0.0
5,22,0.0,0.0,0.0,0.0
5,23,0.0,0.0,0.0,0.0
5,24,0.0,0.0,0.0,0.0
5,25,0.0,0.0,0.0,0.0
5,26,0.0,0.0,0.0,0.0
5,27,0.0,0.0,0.0,0.0
5,28,0.0,0.0,0.0,0.0
5,29,0.0,0.0,0.0,0.0
5,30,0.0,0.0,0.0,0.0
5,31,0.0,0.0,0.0,0.0
5,32,0.0,0.0,0.0,0.0
5,33,0.0,0.0,0.0,0.0
5,34,0.0,0.0,0.0,0.0
