depth,b,cmi_center_mean,cmi_center_sem,cmi_max_mean,frac_nonzero
7,1,0.13,0.03363034344160047,1.26,0.13
7,2,1.14,0.08126499861564017,2.48,0.77
7,3,0.73,0.07596709814123478,2.22,0.56
7,4,0.13,0.03363034344160047,2.36,0.13
7,5,0.06,0.023748684174075833,0.87,0.06
7,6,0.01,0.0099498743710662,0.5,0.01
7,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
7,9,0.0,0.0,0.0,0.0
7,10,0.0,0.0,0.0,0.0
7,11,0.0,0.0,0.0,0.0
7,12,0.0,0.0,0.0,0.0
7,13,0.0,0.0,0.0,0.0
7,14,0.0,0.0,0.0,0.0
7,15,0.0,0.0,0.0,0.0
7,16,0.0,0.0,0.0,0.0
7,17,0.0,0.0,0.0,0.0
7,18,0.0,0.0,0.0,0.0
7,19,0.0,0.0,0.0,0.0
7,20,0.0,0.0,0.0,0.0
7,21,0.0,0.0,0.0,0.0
7,22,0.0,0.0,0.0,0.0
7,23,0.0,0.0,0.0,0.0
7,24,0.0,0.0,0.0,0.0
7,25,0.0,0.0,0.0,0.0
7,26,0.0,0.0,0.0,0.0
7,27,0.0,0.0,0.0,0.0
7,28,0.0,0.0,0.0,0.0
7,29,0.0,0.0,0.0,0.0
7,30,0.0,0.0,0.0,0.0
7,31,0.0,0.0,0.0,0.0
7,32,0.0,0.0,0.0,0.0
7,33,0.0,0.0,0.0,0.0
7,34,0.0,0.0,0.0,0.0
