depth,b,cmi_center_mean,cmi_center_sem,cmi_max_mean,frac_nonzero
8,1,0.12,0.03544009029333871,1.11,0.11
8,2,0.36,0.05571355310873648,1.88,0.32
8,3,0.62,0.07039886362719217,2.24,0.5
8,4,0.63,0.07301369734508725,2.04,0.48
8,5,0.14,0.03469870314579494,1.29,0.14
8,6,0.01,0.0099498743710662,0.64,0.01
8,7,0.0,0.0,0.19,0.0
8,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
8,10,0.0,0.0,0.0,0.0
8,11,0.0,0.0,0.0,0.0
8,12,0.0,0.0,0.0,0.0
8,13,0.0,0.0,0.0,0.0
8,14,0.0,0.0,0.0,0.0
8,15,0.0,0.0,0.0,0.0
8,16,0.0,0.0,0.0,0.0
8,17,0.0,0.0,0.0,0.0
8,18,0.0,0.0,0.0,0.0
8,19,0.0,0.0,0.0,0.0
8,20,0.0,0.0,0.0,0.0
8,21,0.0,0.0,0.0,0.0
8,22,0.0,0.0,0.0,0.0
8,23,0.0,0.0,0.0,0.0
8,24,0.0,0.0,0.0,0.0
8,25,0.0,0.0,0.0,0.0
8,26,0.0,0.0,0.0,0.0
8,27,0.0,0.0,0.0,0.0
8,28,0.0,0.0,0.0,0.0
8,29,0.0,0.0,0.0,0.0
8,30,0.0,0.0,0.0,0.0
8,31,0.0,0.0,0.0,0.0
8,32,0.0,0.0,0.0,0.0
8,33,0.0,0.0,0.0,0.0
8,34,0.0,0.0,0.0,0.0
