depth,b,cmi_center_mean,cmi_center_sem,cmi_max_mean,frac_nonzero
6,1,0.34,0.0494368283772331,1.58,0.33
6,2,0.8,0.06633249580710801,2.23,0.66
6,3,0.74,0.06726068688320094,2.16,0.61
6,4,0.14,0.03469870314579494,1.3,0.14
6,5,0.03,0.017058722109231983,0.6,0.03
6,6,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0
6,8,0.0,0.0,0.0,0.0
6,9,0.0,0.0,0.0,0.0
6,10,0.0,0.0,0.0,0.0
6,11,0.0,0.0,0.0,0.0
6,12,0.0,0.0,0.0,0.0
6,13,0.0,0.0,0.0,0.0
6,14,0.0,0.0,0.0,0.0
6,15,0.0,0.0,0.0,0.0
6,16,0.0,0.0,0.0,0.0
6,17,0.0,0.0,0.0,0.0
6,18,0.0,0.0,0.0,0.0
6,19,0.0,0.0,0.0,0.0
6,20,0.0,0.0,0.0,0.0
6,21,0.0,0.0,0.0,0.0
6,22,0.0,0.0,0.0,0.0
6,23,0.0,0.0,0.0,0.0
6,24,0.0,0.0,0.0,0.0
6,25,0.0,0.0,0.0,0.0
6,26,0.0,0.0,0.0,0.0
6,27,0.0,0.0,0.0,0.0
6,28,0.0,0.0,0.0,0.0
6,29,0.0,0.0,0.0,0.0
6,30,0.0,0.0,0.0,0.0
6,31,0.0,0.0,0.0,0.0
6,32,0.0,0.0,0.0,0.0
6,33,0.0,0.0,0.0,0.0
6,34,0.0,0.0,0.0,0.0
