depth,b,cmi_center_mean,cmi_center_sem,cmi_max_mean,frac_nonzero
10,1,0.03,0.01705872210923198,0.73,0.03
10,2,0.15,0.03570714214271425,1.15,0.15
10,3,0.44,0.06374950980203692,1.99,0.36
10,4,0.65,0.06689544080129825,2.28,0.55
10,5,0.43,0.05874521257089806,1.9,0.38
10,6,0.09,0.028618176042508374,1.16,0.09
10,7,0.04,0.019595917942265423,0.63,0.04
10,8,0.0,0.0,0.15,0.0
10,9,0.0,0.0,0.0,0.0
10,10,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0
10,12,0.0,0.0,0.0,0.0
10,13,0.0,0.0,0.0,0.0
10,14,0.0,0.0,0.0,0.0
10,15,0.0,0.0,0.0,0.0
10,16,0.0,0.0,0.0,0.0
10,17,0.0,0.0,0.0,0.0
10,18,0.0,0.0,0.0,0.0
10,19,0.0,0.0,0.0,0.0
10,20,0.0,0.0,0.0,0.0
10,21,0.0,0.0,0.0,0.0
10,22,0.0,0.0,0.0,0.0
10,23,0.0,0.0,0.0,0.0
10,24,0.0,0.0,0.0,0.0
10,25,0.0,0.0,0.0,0.0
10,26,0.0,0.0,0.0,0.0
10,27,0.0,0.0,0.0,0.0
10,28,0.0,0.0,0.0,0.0
10,29,0.0,0.0,0.0,0.0
10,30,0.0,0.0,0.0,0.0
10,31,0.0,0.0,0.0,0.0
10,32,0.0,0.0,0.0,0.0
10,33,0.0,0.0,0.0,0.0
10,34,0.0,0.0,0.0,0.0
